Footnote,Year,"Country of origin","Country of asylum","Population type"
"Figure relates to stateless persons in Rakhine State and persons of undetermined nationality residing in other states in Myanmar. The figure of stateless persons in Rakhine State has been estimated on the basis of the 2014 census report. It does not include an estimated 147,000 stateless IDPs, persons in an IDP-like situation who are also of concern under the statelessness mandate because they are already included within the figures on IDPs. In Rakhine State, the total number of stateless persons is estimated to be approximately one million. Revisions have been made to reduce the number of stateless persons due to departures to Bangladesh after October 2016. Outside of Rakhine State, the figure of those with undetermined nationality (25,939) is based on government data released on 27 December 2016 indicating the number of persons who hold an Identity Card for National Verification, whose citizenship has not yet been confirmed.",2016,278,135,STA
"The updated figure is based on a registration exercise covering 24 municipalities in 2014 and 2015.",2015,278,151,STA
"The total statelessness figure reported relates to 22,646 stateless persons of Rohingya ethnicity who are also counted as refugees or asylum-seekers from Myanmar, mainly from Rakhine State. The reported figure does not represent an estimate of the entire stateless population.",2023,278,88,STA
"The total statelessness figure includes 573,900 stateless persons reported by the Royal Thai Government and registered with the national civil registration system by the end of 2022.",2022,278,188,STA
"The statistics of stateless/undetermined nationality have been revised as per the updated data received from the Ministry of Interior (as of 30 June 2024). Based on this, the figure of 954 (other stateless persons according to 2011 census) has been removed. This is to note that the latest 2021 census did not include the category of stateless persons, therefore these are not reported.",2024,278,49,STA
"The refugee figure relates to the end of 2016.",2018,278,17,REF
"The figure is an estimate and currently under review.",2015,278,214,STA
"The figures for stateless individuals in Spain represent the 8,525 individuals recognized through the Spanish stateless determination procedure under the 1954 Convention relating to the Status of Stateless Persons, as well as 39 stateless refugees and 15 stateless asylum-seekers. Source: Permanent Observatory on Immigration, Spanish Ministry of Inclusion, Social Security and Migration.",2023,278,173,STA
"Various studies estimate that a significant number of individuals originally from Nepal lack citizenship certificates. While these individuals originally from Nepal are not all necessarily stateless, UNHCR has been working closely with the Government of Nepal and partners to address this situation.",2020,278,137,STA
"In situ figure based on the 2021 census. Figures for stateless refugees and stateless asylum-seekers have been de-duplicated from census data.",2023,278,76,STA
"The statelessness figure refers to a census from 2011 and has been adjusted to reflect the number of persons with undetermined nationality who had their nationality confirmed in 2011-2019.",2019,278,3,STA
"The great majority are former Yugoslav citizens who have yet to have their Serbian nationality formally recognized through the issuance of documents proving nationality.",2015,278,164,STA
"The stateless statistics figure is a combination of data published by the National Institute of Statistics (675 as of 1 January 2023), as well as estimates from NGOs on the number of persons who are stateless or at risk of statelessness present in Italy.",2024,278,94,STA
"The estimate for internally displaced people in Ethiopia was revised upwards to 3.2 million from 2.6 million. Previous estimates of internal displacement in the country did not cover locations that were inaccessible in the Tigray region and the south of the country.",2024,278,58,IDP
"The decreased statistical data on refugees and subsidiary protection holders in Malta is primarily attributed to a revised/updated official data shared with UNHCR by the International Protection Agency under the Ministry of Home Affairs,  Security and Employment. The official governmental data (as of June 30, 2024) reflects the active international protection holders residing in Malta.",2024,278,132,REF
"The statelessness figure refers to stateless persons with permanent residence in Uzbekistan officially reported by the Government of Uzbekistan to UNHCR as of 31 December 2023. Information on other categories of statelessness is unavailable.",2023,278,203,STA
"Figure from 2009 census. 1,640 persons were registered by the Ministry of Interior as stateless at the end of 2012.",2015,278,13,STA
"Figure refers to a census from 2011 and has been adjusted to reflect the number of persons with undetermined nationality who had their nationality confirmed in 2011-2017.",2017,278,3,STA
"This figure is a combination of data published by the National Institute of Statistics (675 as of 1 January 2023), as well as estimates from NGOs on the number of persons who are stateless or at risk of statelessness present in Italy.",2023,278,94,STA
"The total statelessness figure includes 480,696 stateless persons reported by the Royal Thai Government and registered with the national civil registration system as of end-2020.",2020,278,188,STA
"According to the Government of Algeria, there are an estimated 165,000 Sahrawi refugees in the Tindouf camps. Statistical data relating to refugees are entirely for humanitarian purposes. The total number of persons in need of humanitarian assistance services is estimated to be far higher than this figure.",2019,278,4,REF
"A study is being pursued to provide a revised estimate of the statelessness figure.",2019,278,214,STA
"An adjustment to 2014 end of year figures in particular for the number of asylum applications pending on appeal and review has resulted in a substantially higher figure for numbers of asylum seekers reported in South Africa for 2015. It should be noted that the current legal framework in South Africa does not enable the withdrawal (whether explicit or implicit) of asylum applications lodged.",2015,278,159,ASY
"In January 2024, the Government of Turkmenistan released first time ever official statistical information on stateless persons. Previously, in the absence of official data, the figure reported refers to stateless persons and persons with undetermined nationality identified by UNHCR partner organizations in Turkmenistan. Given the discrepancies between partner organizations figures and official figures as of 31 Dec 2023, UNHCR plans to continue crosschecking of partners’ database with the Turkmen authorities in 2024 in order to ensure accurate reporting for 2024. The decrease in the reported figure corresponds to those people who were naturalized or who had another nationality confirmed.",2023,278,190,STA
"Australia’s figures for asylum-seekers are based on the number of applications lodged for protection visas.",2015,278,11,ASY
"Updated figure from the Royal Thai Government. The decrease includes the grant of Thai nationality to over 18,000 stateless people in the last three years.",2015,278,188,STA
"With regards to stateless statistics, the figure for non-displaced stateless people is based on the 2021 census. Figures for stateless refugees and stateless asylum-seekers are derived from census data.",2024,278,76,STA
"Mid-year stock refers to protected persons who are yet to acquire permanent resident status.",2024,278,33,REF
"Figure refers to individuals without a nationality who were born in the Dominican Republic prior to January 2010 and who were identified by UNHCR in Haiti since June 2015.",2016,278,81,STA
"Stateless figures in Australia are sourced from the Government. They consist of figures on stateless persons held in detention and those that have been issued or are in an application process for an “Onshore Humanitarian Visa” and have self-reported to be stateless. Australia does not have a separate statelessness status determination procedure and only provides statistics on humanitarian visas. Due to this, the figure reported here does not capture all stateless persons in Australia and is not an estimate of statelessness in Australia. Figures for stateless persons in detention come from the Australian Government Department of Home Affairs and Australian Border Force report on Immigration Detention and Community Statistics Summary 31 December 2023.",2023,278,11,STA
"With regards to stateless statistics, the number of stateless displaced persons have not been available for several years, hence current estimates may not reflect the real numbers currently in the country.",2024,278,12,STA
"Updated figure is based on a registration and community legal assistance programme undertaken in West Malaysia by a local NGO with technical support from UNHCR, which began in 2014. During 2018, 781 persons of those registered acquired Malaysian nationality.",2018,278,127,STA
"There is no official data on statelessness in Poland. The reported figure refers to the number of stateless people holding a personal identification number issued by the Government, which does not cover all stateless people in the country. The figure additionally includes stateless asylum-seekers and refugees (including beneficiaries of temporary protection) in Poland.",2024,278,154,STA
"All figures refer to the mid of 2018.",2018,278,159,ASY
"According to the Government of Algeria, there are an estimated 165,000 Sahrawi refugees in the Tindouf camps.",2016,278,4,REF
"The UK’s stateless figures show the number of stateless individuals recognised through the UK's stateless determination procedure since it began in 2013. In previous years, this figure has been calculated by adding all grants of stateless leave. This resulted in unavoidable double counting for stateless individuals who were applying for further statelessness leave after the expiry of their initial grant of leave. The UK Government has now provided data for initial and subsequent grants. The subsequent grants have therefore been removed from the previous cumulative figure between 2013 - 2018. Since 2019, the cumulative figure now only includes initial grants of leave following individuals’ recognition as stateless. As of mid-2024, the total number of individuals recognised under UK’s statelessness determination procedure is 394. UNHCR further provides the number of asylum-seekers and refugees whose nationality has been recorded as ‘stateless’ as part of the asylum process. For this group there has been no formal determination that they are stateless.",2024,278,70,STA
"In November 2017, jointly with the Ministry of the Interior of Montenegro (MoI) and the Ministry of Labor and Social Welfare, UNHCR carried out a field verification of all ex-Yugoslav refugees with unresolved legal status and persons at risk of statelessness, known to UNHCR at that time. The field exercise covered 2,318 individuals (including 42% children) in 20 out of 23 municipalities of Montenegro. Based on the verification results, in 2018 UNHCR reported at least 605 persons at risk of statelessness (145 at risk of statelessness and 460 in a statelessness like situation). During 2023 their number decreased for 125 persons. However, new 37 persons at risk of statelessness were identified in the field, leading to the total number of 406 persons at risk of statelessness at the end of 2023. In 2018 Montenegro introduced formal statelessness determination procedure in its legal system. By the end of 2023, through this procedure, 10 persons were officially recognized as stateless by the MoI",2023,278,133,STA
"The figure does not represent the entire number of persons registered as stateless in the German Central Aliens Register. The number of stateless persons holding a humanitarian residence title (not all of whom are persons of concern to UNHCR) and the number of stateless asylum-seekers have been deducted from it.",2015,278,72,STA
"The number of other people in need of international protection is estimated from the RMRP.",2021,278,38,OIP
"The great majority are former Yugoslav citizens who have yet to have their nationality of North Macedonia formally recognized through the issuance of documents proving nationality.","2018, 2023",278,120,STA
"Refugee figure includes 932,204 stateless persons from Myanmar.",2017,278,20,REF
"The Republic of Latvia enacted a Law on Stateless Persons on 17 February 2004, which replaced the Law on the Status of Stateless Persons in the Republic of Latvia of 18 February 1999, and which determines the legal status of persons who are not considered as citizens by the legislation of any State and whose status is not determined by the 25th April 1995 Law. This figure includes persons of concern who fall under Latvia’s 25 April 1995 Law on the Status of those Former USSR Citizens who are not Citizens of Latvia or Any Other State (“Non-citizens”). In the specific context of Latvia, the “Non-citizens” enjoy the right to reside in Latvia ex lege and a set of rights and obligations generally beyond the rights prescribed by the 1954 Convention relating to the Status of Stateless Persons, including protection from removal, and as such the “Non-citizens” may currently be considered persons to whom the Convention does not apply in accordance with Article 1.2(ii).",2016,278,115,STA
"Figure refers to the census figure from 2010 adjusted to reflect the number of stateless persons who acquired nationality in 2011-2017.",2017,278,160,STA
"The refugee population in Jordan includes 34,300 Iraqis registered with UNHCR. The Government of Jordan estimated the number of Iraqis at 400,000 individuals at the end of March 2015. This includes refugees and other categories of Iraqis.",2019,278,96,REF
"The number of refugees was re-calculated based on the refugee data provided by the government. The overall figures for Spain include refugee status (7%), subsidiary protection (8%), temporary protection (50%) and humanitarian reasons (35%).",2024,278,173,REF
"This figure is an estimate of stateless persons in Rakhine State derived from the 2014 census. It does not include an estimated 151,921 stateless IDPs, persons in an IDP-like situation who are also of concern under the statelessness mandate because they are already included within the figures on IDPs. In Rakhine State it is estimated to be approximately one million.",2015,278,135,STA
"Figure is an extrapolation of the 2001 census figure of persons who self-declared as not having a nationality. It includes 5,650 persons who are registered as stateless by the Ministry of the Interior of Ukraine.",2018,278,200,STA
"Figure of Stateless persons refers to the census figure from 2010 adjusted to reflect the number of stateless persons who acquired nationality in 2011- 2015. The figure includes 12,881 stateless persons holding a temporary or a permanent residence permit.",2015,278,160,STA
"This figure reflects the number of stateless persons identified through a survey completed by UNHCR and a partner among various communities affected by statelessness, which led to 1,000 interviews being conducted, through which 233 individuals were considered to be stateless. This figure only captures stateless individuals known to UNHCR, while there are likely to be more people in the country who are stateless. It does not include any estimate of the stateless refugee population or persons of undetermined nationality, populations that are also typically included in official UNHCR statelessness statistics. Based on other data sources it is understood that there are also persons of those profiles in Iraq, and the reported figures will be reviewed as more information becomes available.",2023,278,92,STA
"The total number of refugees is 78,398 at the end of 2019. The numbers published refer to end-2018, as validated disaggregated country of origin data for 2019 was not available at time of publication.",2019,278,159,REF
"This figure presents an estimate of persons with undetermined nationality/at risk of statelessness, based on a survey conducted by the Directorate General of Immigration and Emigration (DGIE) in 2010, which found approximately 9500 persons to be at risk of statelessness. Efforts are underway to conduct a survey that will provide an updated and reliable statistics in 2022.",2021,278,161,STA
"All figures refer to mid-2018.",2018,278,159,ASY
"Refugee figure relates to the end of 2016.",2017,278,114,REF
"UNHCR is currently working with the authorities and other actors to determine the size of the population that found an effective nationality solution under Law 169-14. Since the adoption of Law 169-14 in May 2014, important steps have been taken by the Dominican Republic to confirm Dominican nationality through the validation of birth certificates of individuals born in the country to two migrant parents. According to information released by the authorities, 26,153 individuals had been issued their Dominican civil documents by September of 2018. Additionally, 308 individuals formally presented their naturalization claims to the Ministry of Interior and Policeas of the end of 2018 and are awaiting their naturalization decrees.",2018,278,53,STA
"In the Islamic Republic of Iran, some 2.6 million Afghans have been reported as people in a refugee-like situation. In 2022, the Government of the Islamic Republic of Iran conducted a recount of the previously ""head counted"" population and extended the scope of this scheme to all undocumented Afghans residing in the country, including those who had newly arrived due to the Taliban takeover in 2021 in Afghanistan. It is reported that 2.6 million Afghans enrolled in this exercise, which provides them with a headcount slip and temporary protection from deportation.",2022,278,91,REF
"The 2021 end-year statelessness figure refers to stateless persons with permanent residence in Uzbekistan officially reported by the Government of Uzbekistan to UNHCR as of 31 December 2021. Information on other categories of statelessness is unavailable. The reported figure includes a reduction of 2,200 people who acquired the citizenship of Uzbekistan from 1 to 31 December 2020, which was not included in the 2020 annual statistics as it was reported in February 2022.",2021,278,203,STA
"The decrease in the stateless population in Norway between 2022 and 2023 is due to de-duplication of figures reported in previous years.",2023,278,143,STA
"The total statelessness figure includes 474,888 non-displaced stateless persons reported by the Royal Thai Government and registered with the national civil registration system as of December 2019. This figure includes 119 stateless persons of Rohingya ethnicity from Myanmar who are also counted as others of concern to UNHCR. UNHCR’s statistical reporting generally follows a methodology that reports only one status for each person of concern. However, due to the size of the stateless Rohingya population displaced from Myanmar, UNHCR considers it important to reflect the dual status of this population group as others of concern to UNHCR and stateless. This approach is being used for Thailand for the first time in 2019.",2019,278,188,STA
"Number of stateless persons registered by the Department of Citizenship and Migration of the Ministry of Internal Affairs of Belarus. (In the 2009 census, 16,116 persons declared that they do not possess any nationality).",2015,278,24,STA
"277 persons were naturalized or granted citizenship in 2023. Since December 2021 the data on number of staleless persons is provided by the Government.",2023,278,100,STA
"The number of refugees is based on the  data on refugee and temporary protection status holders, as provided by the government.",2023,278,138,REF
"The great majority are former Yugoslav citizens who have yet to have their nationality of The former Yugoslav Republic of Macedonia formally recognized through the issuance of documents proving nationality.",2015,278,120,STA
"No official data on the actual number of refugees residing in Bulgaria is available. The estimate includes 61,100 Ukrainians who received temporary protection, and 33,400 other refugees.",2024,278,30,REF
"The Republic of Latvia enacted a Law on Stateless Persons on 17 February 2004, which replaced the Law on the Status of Stateless Persons in the Republic of Latvia of 18 February 1999, and which determines the legal status of persons who are not considered as citizens by the legislation of any State and whose status is not determined by the 25th April 1995 Law (quoted below).",2017,278,115,STA
"The figure relate to the end of 2016.",2018,278,114,REF
"The total statelessness figure includes 586,500 stateless persons reported by the Royal Thai Government and registered with the national civil registration system by the end of 2023.",2023,278,188,STA
"In Poland, the refugee population was rebased using the estimate of those likely to still be present on the territory of the State using the number of valid identity cards at year-end. This resulted in a reduction of some 10,200 refugees.",2020,278,154,REF
"By mid-2022, there were 234 Ukrainian nationals, 73 of whom were protected, a further 73 under temporary residence on humanitarian grounds and 161 with non-visa stay.",2022,278,29,REF
"Refugee figure for Iraqis was a Government estimate. UNHCR has registered 15,700 Iraqis at the end of 2018. According to some reports many stateless persons were naturalized between 2011-2018, but no official figures are yet confirmed.",2018,278,185,STA
"Figure of stateless persons refers to individuals without a nationality who were born in the Dominican Republic prior to January 2010 and who were identified by UNHCR in Haiti during the reporting period.",2015,278,81,STA
"The overall figures for Spain include cases granted refugee status (4%), subsidiary protection (1%) and cases that were granted authorization to stay based on humanitarian reasons (37%).",2020,278,173,REF
"This figure presents an estimate of persons with undetermined nationality/at risk of statelessness, based on a survey conducted by the Directorate General of Immigration and Emigration (DGIE) in 2010, which found approximately 9,500 people to be at risk of statelessness. The 2023 population and housing census, led to the identification of areas where populations reside who are stateless or at the risk thereof. Efforts are underway to conduct targeted surveys that will provide an updated and reliable statistics.",2024,278,161,STA
"Data refers to number of cases or mix of persons and cases.",2016,278,70,ASY
"The 2022 statelessness figure refers to stateless persons with permanent residence in Uzbekistan officially reported by the Government of Uzbekistan to UNHCR as of 31 December 2022. Information on other categories of statelessness is unavailable.",2022,278,203,STA
"The reported figure is a preliminary estimate of persons of undetermined nationality by UNHCR. The estimate is based on the UNHCR 2018 statelessness study which documents specific profiles of groups at risk of statelessness in South Sudan.",2023,278,179,STA
"Figure refers to a census from 2011 and is currently under review.",2015,278,3,STA
"Only those asylum-seekers facing acute or imminent protection risks are registered by UNHCR. There are some 13,400 other asylum-seekers who were individually assessed, counselled and advised to inform UNHCR of any changes in their situation, which would justify a decision to register them.",2022,278,163,ASY
"Australia's figures for asylum-seekers are based on the number of applications lodged for protection visas.",2017,278,11,ASY
"The statelessness figure is based on a 2019 mapping study jointly conducted by the Government and UNHCR. On 30 June 2022, the cessation clause for Ivorian refugees recommended by UNHCR came into effect.",2022,278,87,STA
"The statelessness figure refers to a census from 2011 and has been adjusted to reflect the number of persons with undetermined nationality who had their nationality confirmed in 2011-2017.",2017,278,3,STA
"Also, only those asylum-seekers facing acute or imminent protection risks are registered by UNHCR. In addition, there are some 3,900 other asylum-seekers who were individually assessed, counselled and advised to inform UNHCR of any changes in their situation, which would justify a decision to register them.",2023,278,163,ASY
"Asylum applications and pending figures are adjusted with the average number of person per case(1.46).",2016,278,202,ASY
"Figure refers to persons who have been recognized as stateless through the statelessness determination procedure in 2013 - 2016.",2016,278,70,STA
"The overall figures for Spain include refugee status (6%), subsidiary protection (9%), temporary protection (50%) and humanitarian reasons (35%). Source: Spanish Ministry of Inclusion, Social Security and Migration.",2022,278,173,REF
"Figure is based on a Government estimate of individuals who themselves or whose parents or grandparents migrated to Côte d’Ivoire before or just after independence and who did not establish their nationality at independence or before the nationality law changed in 1972. The estimate is derived in part from cases denied voter registration in 2010 because electoral authorities could not determine their nationality at the time. The estimation is adjusted to reflect the number of persons who acquired nationality through the special ‘acquisition of nationality by declaration’ procedure until end of 2018. The estimate does not include individuals of unknown parentage who were abandoned as children and who are not considered as nationals under Ivorian law.",2018,278,87,STA
"Refugee figure relates to the end of 2014.",2015,278,75,REF
"Figure based on a registration exercise in three regions and 729 people registered as stateless by the Ministry of Internal Affairs of Tajikistan.",2015,278,189,STA
"A study is being pursued to provide a revised estimate of this figure.",2016,278,214,STA
"The overall figures for Spain include cases granted refugee status (3%), subsidiary protection (3%) and cases that were granted authorization to stay based on humanitarian reasons (63%).",2019,278,173,REF
"No data was available for stateless persons residing in the United States of America.",2022,278,202,STA
"The updated figure is based on improved information concerning persons of Indonesian descent who have acquired nationality.",2018,278,151,STA
"Figures are UNHCR estimates.",2015,278,97,"REF,ASY"
"Refers to refugee status determination conducted in Kosovo S/RES/1244(1999).",2015,278,164,ASY
"With regards to stateless statistics, the figure includes people determined to be stateless following the statelessness determination procedure and people with undetermined nationality who hold expired Soviet passports.",2024,278,122,STA
"The estimated figure of persons of concern under the statelessness mandate relates to stateless persons of Rohingya ethnicity in Rakhine State, including stateless Rohingya IDPs in Myanmar. The number of persons of undetermined nationality residing in other states or regions in Myanmar is not currently available. The number of stateless persons remaining in Rakhine State following violence in 2016 and 2017 and large scale departures to Bangladesh is based on detailed estimates for each village tract made by UNHCR, other UN agencies and NGOs in early 2018, which concluded that between 532,000 to 600,000 Rohingya remained in Rakhine State, increasing to 632,800 due to additional displacement (including an estimated 155,500 of those Rohingya who have been internally displaced).",2023,278,135,STA
"UNHCR’s global reporting standard for asylum statistics is for individual level data. To meet this standard, US Citizenship and Immigration Services (USCIS) shared the 2021 asylum data expressed in terms of individuals. Previously, USCIS provided data based on asylum “cases” and average family household size, which UNHCR used to estimate the total number of individual asylum applications before USCIS. The shift in 2021 to USCIS reporting of individuals (not cases) allows for more precise reporting, as well as more consistency across the U.S. asylum data, since the U.S. Executive Office for Immigration Review (EOIR) has already been reporting individual-level asylum statistics to UNHCR. UNHCR notes that the increase in the reported number of asylum applications filed with USCIS in 2021 primarily reflects this change in reporting modality.",2021,278,202,ASY
"The number of stateless people (233) reported for Iraq reflects the number of stateless persons identified through a survey completed by UNHCR and a partner among various communities affected by statelessness, which led to 1,000 interviews being conducted, through which 233 individuals were considered to be stateless. This figure only captures stateless individuals known to UNHCR, while there are likely to be more people in the country who are stateless. It does not include any estimate of the stateless refugee population or persons of undetermined nationality, populations that are also typically included in official UNHCR statelessness statistics. Based on other data sources it is understood that there are also persons of those profiles in Iraq, and the reported figures will be reviewed as more information becomes available.",2024,278,92,STA
"Refers to people in refugee-like situations.",2022,200,33,REF
"The others of concern figure at end-2022 corresponds to the number of conflict-affected, non-displaced people assisted by UNHCR during the year.",2022,200,278,OOC
"The figure for the Russian Federation includes 1.2 million Ukrainians who were granted refugee or temporary asylum status, as well as those recorded in the country in 2023 under other forms of stay.",2023,200,160,REF
"No information on asylum applications registered or decisions taken during 2015 is available. Pending cases refers to September 2013.",2015,278,54,ASY
"Start-Year figures come from the 2009 census, reporting 3585 stateless persons. In 2023, UNHCR conducted an extensive identification exercise of stateless persons in Azerbaijan using both government and UNHCR registers. The exercise was able to account for 513 stateless person. The government of Azerbaijan confirmed that between 2008 and 2023, 2306 stateless persons aquired  citizenship of Azerbaijan.",2023,278,13,STA
"Asylum applications registered and decisions taken is limited to UNHCR data.",2015,278,93,ASY
"The number reported of stateless refugees and of non-displaced stateless people remains unchanged from end-2023, as no updated data was submitted from authorities.",2024,278,86,STA
"The United States of America has not adopted a formal status determination procedure to identify stateless persons, and there is no official government data-tracking of the stateless population in the USA. As such, while the USA has a stateless population, the actual number is unknown.",2018,278,202,STA
"A previous estimate of persons of undetermined nationality was removed, as more comprehensive dissagregation of country of origin information of populations from the 2021 census became available.",2023,278,180,STA
"Almost all people recorded as being stateless have permanent residence and enjoy more rights than foreseen in the 1954 Convention relating to the Status of Stateless Persons.",2015,278,57,STA
"Figure refers to individuals without a nationality who were born in the Dominican Republic prior to January 2010 and who were identified by UNHCR in Haiti from July 2015 to September 2017.",2018,278,81,STA
"This figure presents an estimate of persons with undetermined nationality/at risk of statelessness, based on joint outreach mission conducted by the Government of Uganda and UNHCR in September/October 2021, that aimed to provide estimate numbers through self-identification of communities not recognized under the Third Schedule of the 1995 Constitution.",2022,278,199,STA
"The total stateless population in Malaysia includes 9,040 non-displaced stateless persons who may be entitled to Malaysian nationality under the law. This number of non-displaced stateless persons is based on a registration and community legal assistance programme undertaken in West Malaysia by a local NGO with technical support from UNHCR.",2020,278,127,STA
"Figure from the 2011 census. It includes 28 persons registered as stateless by the Government of Croatia.",2018,278,84,STA
"According to some reports many stateless persons have been naturalized since 2011, but no official figures are yet confirmed.",2019,278,185,STA
"The National Victims Registry of Colombia contains the historical accumulated figure of the number of victims of displacement which continues to increase, given that victims continue to be registered in the country. Thus, the total number of persons recognized as victims of displacement (more than 8.4 million), includes the number of IDPs who are subject to attention and/or reparation, i.e. those who meet the requirements to access the measures of attention and reparation established in Colombian Law 1448 (6.8 million). The number of victims of displacement who are deceased, direct victims of forced disappearance and homicide, and other victims who, for various reasons, cannot effectively access these measures, are identified as not being subject to attention or reparation and therefore not included in the figure of 6.8 million. The figure is constantly updated, considering that by legal definition, victims have up to two years to make their declaration and be included in the registry system. See the summary: https://www.unidadvictimas.gov.co/es/registro-unico-de-victimas-ruv/37394.",2022,278,44,IDP
"The number of refugees is based on the data on refugees, as provided by the government. The overall figures for Spain include refugee status (7%), subsidiary protection (8%), temporary protection (50%) and humanitarian reasons (35%). Source: Spanish Ministry of Inclusion, Social Security and Migration.",2023,278,173,REF
"With regards to stateless statistics, the number reported on stateless asylum seekers at mid-year is derived from the number of pending asylum applications lodged by ""stateless"" and ""unknown"" reported by the Finnish authorities. The number reported of stateless refugees and of non-displaced stateless has been left unchanged as per end-2023, as no updated data was submitted from authorities.",2024,278,61,STA
"By the end of 2017, a total of 6,072 persons out of the 8,745 persons of Indonesian descent registered by the Government of the Philippines between 2014-2016 were confirmed as Filipino, Indonesian or dual nationals.",2017,278,151,STA
"With regards to stateless statistics, the figure is an estimate based on previous NGO analysis of government data and may not represent the full magnitude of statelessness in Slovenia.",2024,278,181,STA
"Refugee figure includes 906,635 stateless persons from Myanmar.",2018,278,20,REF
"No official data on the actual number of refugees residing in Bulgaria is available. According to estimates, between 1,000 and 2,000 refugees and humanitarian status holders remain in the country. It is expected that the 2021 National Census, which will include for the first-time refugee and stateless populations, will provide more accurate data by end of 2022.",2021,278,30,REF
"The National Victims Registry of Colombia contains the historical accumulated figure of the number of victims of displacement, which continues to increase given that victims continue to be registered in the country. Thus, the total number of people recognized as victims of displacement (more than 8.2 million), includes the number of IDPs who are subject to attention and/or reparation, i.e. those who meet the requirements to access the measures of attention and reparation established in Colombian Law 1448 (6.8 million). The number of victims of displacement who are deceased, or IDPs who were victims of homicide or forced disappearance, and other victims who, for various reasons, cannot effectively access these measures, are identified as not being subject to attention or reparation and therefore not included in the figure of 6.8 million. The figure is constantly updated, considering that by legal definition, victims have up to two years to make their declaration and be included in the registry system. See the summary: https://www.unidadvictimas.gov.co/es/registro-unico-de-victimas-ruv/37394.",2021,278,44,IDP
"There is no official data on statelessness in Poland. The reported figure refers to the number of stateless persons holding a personal identification number issued by the Government, which does not cover all stateless people in the country. The figure additionally includes stateless asylum-seekers and refugees (incl. benificiaries of temporary protection) in Poland.",2023,278,154,STA
"33 The estimated figure of persons of concern under the statelessness mandate relates to stateless persons of Rohingya ethnicity in Rakhine State, including stateless Rohingya IDPs in Myanmar. The number of persons of undetermined nationality residing in other states or regions in Myanmar is not currently available. The number of stateless persons remaining in Rakhine State following violence in 2016 and 2017 and large scale departures to Bangladesh is based on detailed estimates for each village tract made by UNHCR, other UN agencies and NGOs in early 2018, which concluded that between 532,000 to 600,000 Rohingya remained in Rakhine State, increasing to 630,000 due to additional displacement in 2022 (including an estimated 156,600 of those Rohingya who have been internally displaced).",2022,278,135,STA
"Figure refers to persons who have been recognized as stateless through the statelessness determination procedure in 2013 - 2015.",2015,278,70,STA
"Source: Eurostat",2019,278,17,ASY
"Updated figure is based on a registration exercise covering 28 municipalities that has taken place between 2014 and 2016. 4,112 of the registered group were confirmed as Filipino, Indonesian or dual nationals during 2016.",2016,278,151,STA
"New asylum applications were not received in 2021 while Refugee Reception Offices were closed due to the declaration of a national state of disaster (COVID-19 health pandemic).",2021,278,159,ASY
"UNHCR is currently working with the authorities and other actors to determine the size of the population that found an effective nationality solution under Law 169-14. Since the adoption of Law 169-14 in May 2014, important steps have been taken by the Dominican Republic to confirm Dominican nationality through the validation of birth certificates of individuals born in the country to two migrant parents. Thousands of individuals also are believed to have been issued their Dominican civil documents in 2016, although an official figure was not available for this report.",2016,278,53,STA
"Since 2007, people in IDP-like situations are included in the IDP estimates. IDP figures since 2007 are not fully comparable with previous years.",2017,278,278,IDP
"This figure presents an estimate of persons with undetermined nationality/at risk of statelessness, based on a survey conducted by the Directorate General of Immigration and Emigration (DGIE) in 2010, which found approximately 9,500 persons to be at risk of statelessness. The 2023 population and housing census, led to the identification of areas where populations reside who are stateless or at the risk thereof. Efforts are underway to conduct targeted surveys that will provide an updated and reliable statistics.",2023,278,161,STA
"The figures include an estimated 125,000 stateless IDPs, people in IDP-like situation who are also of concern under the statelessness mandate.",2018,278,135,IDP
"With respect to persons under UNHCR’s statelessness mandate, this figure includes persons of concern covered by two separate Latvian laws. 160 persons fall under the Republic of Latvia’s Law on Stateless Persons on 17 February 2004. 187,404 of the persons fall under Latvia’s 25 April 1995 Law on the Status of those Former USSR Citizens who are not Citizens of Latvia or Any Other State (“Non-citizens”). In the specific context of Latvia, the “Non-citizens” enjoy the right to reside in Latvia ex lege and a set of rights and obligations generally beyond the rights prescribed by the 1954 Convention relating to the Status of Stateless Persons, including protection from removal, and as such the “Non-citizens” may currently be considered persons to whom the Convention does not apply in accordance with Article 1.2(ii).",2022,278,115,STA
"Pending a more accurate study into stateless in Iraq, the estimate of stateless persons in Iraq has been adjusted to reflect the reduction of statelessness in line with Law 26 of 2006, which allows stateless  persons to apply for nationality in certain circumstances.",2017,278,92,STA
"Based on the information reported in the media as well as UNHCR protection monitoring activities, UNHCR estimates there to be 65,500 people of various origins in Kazakhstan who may be in need of international protection.",2024,278,98,REF
"Stateless figure refers to individuals without a nationality who were born in the Dominican Republic prior to January 2010 and who were identified by UNHCR in Haiti since June 2015.",2018,278,81,STA
"The Lebanese government estimates that 1.5 million Syrians are in Lebanon (some 774,700 registered by UNHCR as well as 11,400 asylum-seekers and refugees of other nationalities).",2024,278,109,REF
"All figures refer to the end of 2016.",2017,278,25,ASY
"Asylum applications which are reported as cases can be multiplied overall by average number of person per case of 1.501 when summarising the data by country of asylum, but not origin.  This is due to the significant variance in the average case size by country of origin.",2018,278,202,ASY
